codigoint;codigoean;descricao;loja;embseparacao;ppcx;eicx;capcx;ltmix;secaoope;grupomerc
1010870;7898929966650;LEITE PO SH 120G QUALITEM INTEGRAL INST;018;50;0,60;1,60;0,34;A;10;102
1011844;7898929966063;LEITE PO SH 200G CCGL INTEGRAL INST;002;50;0,80;1,80;0,68;A;10;102
1011844;7898929966063;LEITE PO SH 200G CCGL INTEGRAL INST;003;50;1,00;2,00;0,34;A;10;102
1011844;7898929966063;LEITE PO SH 200G CCGL INTEGRAL INST;004;50;0,60;1,60;0,68;A;10;102
1011844;7898929966063;LEITE PO SH 200G CCGL INTEGRAL INST;005;50;0,50;1,50;0,68;A;10;102
1011844;7898929966063;LEITE PO SH 200G CCGL INTEGRAL INST;006;50;0,50;1,50;0,34;A;10;102
1011844;7898929966063;LEITE PO SH 200G CCGL INTEGRAL INST;007;50;0,50;1,50;2,72;A;10;102
1011844;7898929966063;LEITE PO SH 200G CCGL INTEGRAL INST;008;50;0,50;1,50;0,68;A;10;102
1011844;7898929966063;LEITE PO SH 200G CCGL INTEGRAL INST;011;50;0,80;1,80;0,68;A;10;102
1011844;7898929966063;LEITE PO SH 200G CCGL INTEGRAL INST;012;50;0,80;1,80;1,02;A;10;102
1011844;7898929966063;LEITE PO SH 200G CCGL INTEGRAL INST;013;50;0,50;1,50;1,36;A;10;102
1011844;7898929966063;LEITE PO SH 200G CCGL INTEGRAL INST;014;50;0,50;1,50;0,34;A;10;102
1011844;7898929966063;LEITE PO SH 200G CCGL INTEGRAL INST;017;50;0,50;1,50;1,36;A;10;102
1011844;7898929966063;LEITE PO SH 200G CCGL INTEGRAL INST;018;50;0,50;1,50;0,34;A;10;102
1023182;7891097104497;LEITE PO SH 300G PARMALAT ZERO LACTOSE;002;12;0,67;1,67;0,83;A;10;102
1023182;7891097104497;LEITE PO SH 300G PARMALAT ZERO LACTOSE;003;12;0,83;1,83;0,83;A;10;102
1023182;7891097104497;LEITE PO SH 300G PARMALAT ZERO LACTOSE;004;12;0,50;1,50;0,83;A;10;102
1023182;7891097104497;LEITE PO SH 300G PARMALAT ZERO LACTOSE;006;12;0,50;1,50;0,83;A;10;102
1023182;7891097104497;LEITE PO SH 300G PARMALAT ZERO LACTOSE;011;12;0,67;1,67;1,67;A;10;102
1023182;7891097104497;LEITE PO SH 300G PARMALAT ZERO LACTOSE;012;12;0,67;1,83;1,67;A;10;102
1023182;7891097104497;LEITE PO SH 300G PARMALAT ZERO LACTOSE;014;12;0,67;1,67;0,83;A;10;102
1023182;7891097104497;LEITE PO SH 300G PARMALAT ZERO LACTOSE;018;12;0,67;1,67;1,67;A;10;102
